doi,year,authors,title,journal,citations,relevance,crop,metric_used,selection_method,contribution,url
10.1038/s41598-019-50345-3,2019,Annor Benjamin; Badu-Apraku Baffour; Nyadanu Daniel; Akromah Richard; Fakorede Morakinyo A. B.,Testcross performance and combining ability of early maturing maize inbreds under multiple-stress environments,Scientific Reports,28,2,maize,"general and specific combining ability (GCA, SCA)",testcross combining ability analysis,Combining ability under multiple stresses; identifies beneficial alleles for tropical maize but no diversity-constrained selection.,https://doi.org/10.1038/s41598-019-50345-3
10.1038/s41598-023-44961-3,2023,Dube Sweetbird Phindile; Sibiya Julia; Kutu Funso,Genetic diversity and population structure of maize inbred lines using phenotypic traits and single nucleotide polymorphism (SNP) markers,Scientific Reports,27,2,maize,"gene diversity, polymorphic information content",,Quantifies total diversity of germplasm pool using SNP markers; identifies subpopulations but no selection method.,https://doi.org/10.1038/s41598-023-44961-3
10.3389/fpls.2017.01934,2017,"Ramya AR, Ahamed M L, Satyavathi CT, Rathore A, Katiyar P, Raj AGB, Kumar S, Gupta R, Mahendrakar MD, Yadav RS, Srivastava RK.",Towards Defining Heterotic Gene Pools in Pearl Millet [<i>Pennisetum glaucum</i> (L.) R. Br.].,,27,2,pearl millet,"gene diversity, alleles per locus, PIC, neighbor-joining clustering",heterotic group assignment by SSR markers,Diversity metrics applied to maintainer and restorer lines; heterotic group identification via markers.,https://doi.org/10.3389/fpls.2017.01934
10.1007/s00122-023-04436-5,2023,Würschum Tobias; Zhu Xintian; Zhao Yusheng; Jiang Yong; Reif Jochen C.; Maurer Hans Peter,Maximization through optimization? On the relationship between hybrid performance and parental genetic distance,Theoretical and Applied Genetics,25,2,maize,"genetic distance (heterotic loci), heterosis magnitude",,Theoretical framework on relationship between heterosis and parental genetic distance; context for optimizing heterotic groups.,https://doi.org/10.1007/s00122-023-04436-5
10.1534/g3.120.401491,2020,"Keep T, Sampoux JP, Blanco-Pastor JL, Dehmer KJ, Hegarty MJ, Ledauphin T, Litrico I, Muylle H, Roldán-Ruiz I, Roschanski AM, Ruttink T, Surault F, Willner E, Barre P.",High-Throughput Genome-Wide Genotyping To Optimize the Use of Natural Genetic Resources in the Grassland Species Perennial Ryegrass (<i>Lolium perenne</i> L.).,,25,2,perennial ryegrass,"allele frequencies, SNP diversity across 189,781 markers",GWAS-guided selection of natural ecotype diversity,Characterizes natural genetic resources and marker associations; enabling selection without explicit diversity constraint.,https://doi.org/10.1534/g3.120.401491
10.2135/cropsci2018.03.0163,2018,Singh Satbeer; Gupta S. K.; Thudi Mahendar; Das Roma Rani; Vemula Anilkumar; Garg Vanika,Genetic Diversity Patterns and Heterosis Prediction Based on SSRs and SNPs in Hybrid Parents of Pearl Millet,Crop Science,24,2,pearl millet,"SSR alleles, SNP loci, diversity (AMOVA/PCoA), parental genetic distance",,Genetic diversity quantified across maintainer/restorer heterotic groups; heterosis prediction from GD.,https://doi.org/10.2135/cropsci2018.03.0163
10.1093/g3journal/jkab153,2021,"Technow F, Podlich D, Cooper M.",Back to the future: implications of genetic complexity for the structure of hybrid breeding programs.,,24,2,maize,"effective population size, genetic space",NK model simulation,Simulation on genetic-base narrowing in hybrid breeding structure; addresses long-term diversity collapse risk.,https://doi.org/10.1093/g3journal/jkab153
10.1111/pbi.14341,2024,"Burridge AJ, Winfield M, Przewieslik-Allen A, Edwards KJ, Siddique I, Barral-Arca R, Griffiths S, Cheng S, Huang Z, Feng C, Dreisigacker S, Bentley AR, Brown-Guedira G, Barker GL.",Development of a next generation SNP genotyping array for wheat.,,24,2,wheat,SNP diversity from skim sequencing of elite lines and landraces; haplotype optimization,novel haplotype optimization approach for SNP selection; designed from Watkins Core Collection,Captures varietal diversity in genotyping platform; core-collection-derived marker design.,https://doi.org/10.1111/pbi.14341
10.3389/fpls.2022.1008904,2022,"Tirnaz S, Zandberg J, Thomas WJW, Marsh J, Edwards D, Batley J.","Application of crop wild relatives in modern breeding: An overview of resources, experimental and computational methodologies.",,24,2,multi-crop,genetic diversity in crop wild relatives (CWRs) via pangenomes,"de novo domestication, modern breeding experimental approaches for CWR introgression",Reviews resources and strategies for introducing CWR diversity into crops; diversity-constrained improvement framework.,https://doi.org/10.3389/fpls.2022.1008904
10.1111/pbr.12821,2020,Neuweiler Jan E.; Maurer Hans Peter; Würschum Tobias,"Long‐term trends and genetic architecture of seed characteristics, grain yield and correlated agronomic traits in triticale (×<i>Triticosecale</i> Wittmack)",Plant Breeding,23,2,triticale,"genotypic variation, heritability, QTL effects, allele frequency trends",,Long-term genetic trends and architecture documented; phenotypic gain trends shown; no selection scheme.,https://doi.org/10.1111/pbr.12821
10.3389/fpls.2021.745379,2022,Juliana Philomin; He Xinyao; Marza Felix; Islam Rabiul; Anwar Babul; Poland Jesse,"Genomic Selection for Wheat Blast in a Diversity Panel, Breeding Panel and Full-Sibs Panel",Frontiers in Plant Science,23,2,wheat,"genetic diversity (diversity panel), prediction accuracy","genomic selection, GBLUP, Bayes B",Evaluates GS on diversity/breeding/full-sib panels; no explicit diversity constraint in optimization.,https://doi.org/10.3389/fpls.2021.745379
10.1038/s41437-021-00494-x,2022,"Chang CW, Fridman E, Mascher M, Himmelbach A, Schmid K.","Physical geography, isolation by distance and environmental variables shape genomic variation of wild barley (Hordeum vulgare L. ssp. spontaneum) in the Southern Levant.",,23,2,barley (wild),"gene diversity, genomic variation partitioning, environmental correlation",population structure and RDA,Quantifies genetic structure and local adaptation in wild barley; informs genetic resource utilization strategy.,https://doi.org/10.1038/s41437-021-00494-x
10.1002/csc2.20676,2022,Cerón‐Rojas J. Jesus; Crossa Jose,The statistical theory of linear selection indices from phenotypic to genomic selection,Crop Science,22,2,multi-crop,"selection response, expected genetic gain per trait","linear selection index (LSI), single/multi-stage, constrained/unconstrained",LSI theory from phenotypic to genomic selection; constrained LSI can impose diversity targets.,https://doi.org/10.1002/csc2.20676
10.1007/s00122-020-03731-9,2021,"Gaikpa DS, Kessel B, Presterl T, Ouzunova M, Galiano-Carneiro AL, Mayer M, Melchinger AE, Schön CC, Miedaner T.",Exploiting genetic diversity in two European maize landraces for improving Gibberella ear rot resistance using genomic tools.,,22,2,maize,"genotypic variance, broad-sense heritability, genotype-environment interaction","GWAS, genomic selection",Exploits genetic diversity in landraces for Fusarium resistance using GS; variance and heritability reported.,https://doi.org/10.1007/s00122-020-03731-9
10.3390/genes13122383,2022,Li Na; Yang Yuanmu; Xu Fang; Chen Xinyu; Wei Ruiyan; Li Ziyue,Genetic Diversity and Population Structure Analysis of Castanopsis hystrix and Construction of a Core Collection Using Phenotypic Traits and Molecular Markers,Genes,21,2,forest tree,"allele count, effective alleles (Ne), Ho, He, Shannon index (I), PIC, AMOVA",core collection construction using phenotypic/molecular data,Diversity metrics and core collection built; no explicit gain–diversity optimization method.,https://doi.org/10.3390/genes13122383
10.1016/j.dib.2022.108164,2022,Mayer Manfred; Hölker Armin C.; Presterl Thomas; Ouzunova Milena; Melchinger Albrecht E.; Schön Chris-Carolin,Genetic diversity of European maize landraces: Dataset on the molecular and phenotypic variation of derived doubled-haploid populations,Data in Brief,21,2,maize,SNP-based molecular inventory; additive genetic variance from homozygous DH lines,,Genomic characterization of DH landraces for diversity; phenotypic resource but no selection optimization.,https://doi.org/10.1016/j.dib.2022.108164
10.1093/hr/uhac041,2022,"Brault C, Segura V, This P, Le Cunff L, Flutre T, François P, Pons T, Péros JP, Doligez A.",Across-population genomic prediction in grapevine opens up promising prospects for breeding.,,21,2,grapevine,,"across-population genomic prediction, half-diallel mating design",GP for cross selection and individual merit from diversity panel; no diversity metric explicit.,https://doi.org/10.1093/hr/uhac041
10.1111/pbr.12700,2019,Denwar Nicholas Ninju; Awuku Frederick J.; Diers Brian; Addae‐Frimpomaah Francisca; Chigeza Godfree; Oteng‐Frimpong Richard,"Genetic diversity, population structure and key phenotypic traits driving variation within soyabean (<i>Glycine max</i>) collection in Ghana",Plant Breeding,20,2,soybean,"SSR gene diversity, PIC, UPGMA clustering, PCoA, STRUCTURE","population structure, clustering",142 accessions; diversity and subpopulation structure support breeding program design.,https://doi.org/10.1111/pbr.12700
10.1186/s13059-024-03203-z,2024,"He Y, Zhang K, Shi Y, Lin H, Huang X, Lu X, Wang Z, Li W, Feng X, Shi T, Chen Q, Wang J, Tang Y, Chapman MA, Germ M, Luthar Z, Kreft I, Janovská D, Meglič V, Woo SH, Quinet M, Fernie AR, Liu X, Zhou M","Genomic insight into the origin, domestication, dispersal, diversification and human selection of Tartary buckwheat.",,20,2,Tartary buckwheat,"population genomic variation, selective sweeps, GWAS-identified domestication genes",,Population diversity and domestication history; genetic variation described but no diversity-aware selection method.,https://doi.org/10.1186/s13059-024-03203-z
10.1016/j.xplc.2022.100325,2022,"Cui D, Zhou H, Ma X, Lin Z, Sun L, Han B, Li M, Sun J, Liu J, Jin G, Wang X, Cao G, Deng XW, He H, Han L.",Genomic insights on the contribution of introgressions from Xian/Indica to the genetic improvement of Geng/Japonica rice cultivars.,,20,2,rice,introgression frequency and genomic landscape from Xian/Indica into Geng/Japonica; haplotype tracking at key loci,genomic landscape analysis of 816 elite cultivars across breeding eras; haplotype-based introgression tracking,Documents long-term diversity introgression strategy; haplotype composition of elite lines across decades.,https://doi.org/10.1016/j.xplc.2022.100325
10.2135/cropsci2018.03.0197,2019,Smallwood Christopher J.; Saxton Arnold M.; Gillman Jason D.; Bhandari Hem S.; Wadl Phillip A.; Fallen Benjamin D.,Context‐Specific Genomic Selection Strategies Outperform Phenotypic Selection for Soybean Quantitative Traits in the Progeny Row Stage,Crop Science,19,2,soybean,SNP markers (4867 polymorphic),"genomic selection (Epistacy, BayesB, GBLUP) vs phenotypic selection",Context-specific GS strategies; genetically diverse RIL population; no diversity-gain trade-off measure.,https://doi.org/10.2135/cropsci2018.03.0197
10.1534/genetics.118.301286,2018,Brauner Pedro C; Müller Dominik; Schopp Pascal; Böhm Juliane; Bauer Eva; Schön Chris-Carolin,Genomic Prediction Within and Among Doubled-Haploid Libraries from Maize Landraces,Genetics,19,2,maize,prediction accuracy within/among doubled-haploid libraries,genomic prediction within and across DH libraries from landraces,GP in diverse landrace-derived DH populations; diversity context (landraces) but no diversity metric or constraint.,https://doi.org/10.1534/genetics.118.301286
10.1186/s12864-020-06922-2,2020,"Hoque A, Fiedler JD, Rahman M.",Genetic diversity analysis of a flax (Linum usitatissimum L.) global collection.,,19,2,flax,"SNP-based heterozygosity, nucleotide diversity, FST, population substructure",diversity assessment for parental stock enrichment,Global germplasm diversity analysis; identifies subpopulations to increase breeding program diversity.,https://doi.org/10.1186/s12864-020-06922-2
10.3390/plants9091223,2020,Stanley Adekemi; Menkir Abebe; Paterne Agre; Ifie Beatrice; Tongoona Pangirayi; Unachukwu Nnanna,Genetic Diversity and Population Structure of Maize Inbred Lines with Varying Levels of Resistance to Striga Hermonthica Using Agronomic Trait-Based and SNP Markers,Plants,18,2,maize,"gene diversity, polymorphic information content, population structure",,Assesses diversity in Striga-resistance lines using SNP markers; hierarchical clustering but no selection strategy.,https://doi.org/10.3390/plants9091223
10.1186/s12864-019-6323-8,2019,Gao Hongding; Madsen Per; Aamand Gert Pedersen; Thomasen Jørn Rind; Sørensen Anders Christian; Jensen Just,Bias in estimates of variance components in populations undergoing genomic selection: a simulation study,BMC Genomics,18,2,none,"variance components, genetic variance estimation bias",ssGBLUP and Bayesian variance-component estimation under genomic selection,Simulation study of VC estimation in GS context; methodology for tracking variance-component bias over breeding eras.,https://doi.org/10.1186/s12864-019-6323-8
10.1371/journal.pone.0210772,2019,"Singh S, Dey SS, Bhatia R, Kumar R, Sharma K, Behera TK.",Heterosis and combining ability in cytoplasmic male sterile and doubled haploid based Brassica oleracea progenies and prediction of heterosis using microsatellites.,,18,2,Brassica oleracea,"genetic distance (SSR-based), phenotypic distance",heterotic cross selection,Predicts heterosis using genetic distance and assigns parents to heterotic groups via SSR markers.,https://doi.org/10.1371/journal.pone.0210772
10.1038/s41598-022-24536-4,2022,"Prasanna BM, Burgueño J, Beyene Y, Makumbi D, Asea G, Woyengo V, Tarekegne A, Magorokosho C, Wegary D, Ndhlela T, Zaman-Allah M, Matova PM, Mwansa K, Mashingaidze K, Fato P, Teklewold A, Vivek BS, Zai",Genetic trends in CIMMYT's tropical maize breeding pipelines.,,18,2,maize,genetic trend (kg/ha/yr),,Monitors genetic gain trends across breeding pipelines; documents diversity-maintained gain over decade.,https://doi.org/10.1038/s41598-022-24536-4
10.1007/s10681-019-2406-5,2019,"Das B, Atlin GN, Olsen M, Burgueño J, Tarekegne A, Babu R, Ndou EN, Mashingaidze K, Moremoholo L, Ligeyo D, Matemba-Mutasa R, Zaman-Allah M, San Vicente F, Prasanna BM, Cairns JE.",Identification of donors for low-nitrogen stress with maize lethal necrosis (MLN) tolerance for maize breeding in sub-Saharan Africa.,,18,2,maize,,introgression of genetic resources,Identifies donor lines for low-N and MLN tolerance to introgress into elite germplasm; screening-based donor selection.,https://doi.org/10.1007/s10681-019-2406-5
10.1111/pbr.12734,2019,Jähne Felix; Balko Christiane; Hahn Volker; Würschum Tobias; Leiser Willmar L.,Cold stress tolerance of soybeans during flowering: QTL mapping and efficient selection strategies under controlled conditions,Plant Breeding,17,2,soybean,"QTL, genomic prediction","genomic prediction with test-set scenarios, QTL mapping","Cold-stress QTL and genomic selection scenarios; emphasis on resource allocation, no diversity metric.",https://doi.org/10.1111/pbr.12734
10.3389/fpls.2023.1252504,2023,Simiqueli Guilherme Ferreira; Resende Rafael Tassinari; Takahashi Elizabete Keiko; de Sousa João Edesio; Grattapaglia Dario,Realized genomic selection across generations in a reciprocal recurrent selection breeding program of Eucalyptus hybrids,Frontiers in Plant Science,17,2,forest tree,"predictive ability, genomic breeding value, additive and dominance variance",genomic selection (GBLUP) in reciprocal recurrent selection program,"Realized GS across generations in Eucalyptus hybrids; genetic gain operationalized; forest context, not annual crop.",https://doi.org/10.3389/fpls.2023.1252504
10.3390/f9070372,2018,Lu Wanhong; Arnold Roger J.; Zhang Lei; Luo Jianzhong,Genetic Diversity and Structure through Three Cycles of a Eucalyptus urophylla S.T.Blake Breeding Program,Forests,17,2,forest tree,"expected heterozygosity (He), observed heterozygosity (Ho), Fst",,Diversity tracked across three breeding cycles; no selection/optimization method stated.,https://doi.org/10.3390/f9070372
10.1002/csc2.20032,2020,Kuzay Saarah; Hamilton‐Conaty Paige; Palkovic Antonia; Gepts Paul,"Is the USDA core collection of common bean representative of genetic diversity of the species, as assessed by SNP diversity?",Crop Science,17,2,common bean,"SNP diversity, STRUCTURE, PCoA, neighbor-joining analysis",core collection representativity evaluation,Assesses whether core collection captures species-wide genetic diversity; no selection optimization.,https://doi.org/10.1002/csc2.20032
10.3390/plants10091904,2021,"Engels JMM, Ebert AW.",A Critical Review of the Current Global Ex Situ Conservation System for Plant Agrobiodiversity. II. Strengths and Weaknesses of the Current System and Recommendations for Its Improvement.,,17,2,none (review),"active vs. base collection roles, genetic/geographic gap analysis",genebank management and core collection optimization,Strategic framework for ex situ conservation and rational use; no quantified diversity metric or specific breeding application.,https://doi.org/10.3390/plants10091904
10.1093/g3journal/jkab445,2022,"Weiß TM, Zhu X, Leiser WL, Li D, Liu W, Schipprack W, Melchinger AE, Hahn V, Würschum T.",Unraveling the potential of phenomic selection within and among diverse breeding material of maize (Zea mays L.).,,17,2,maize,genetic and phenomic diversity captured in elite and landrace lines; heterotic-pool composition,phenomic and genomic selection with cross-group predictions; compares prediction within vs. across germplasm groups,Evaluates prediction accuracy across heterotic pools and landraces; diversity handling in selection scenarios.,https://doi.org/10.1093/g3journal/jkab445
10.2134/agronj2017.05.0290,2018,Fan XingMing; Bi Yaqi; Zhang Yudong; Jeffers Daniel; Yin XingFu; Kang Manjit,Improving Breeding Efficiency of a Hybrid Maize Breeding Program Using a Three Heterotic‐Group Classification,Agronomy Journal,16,2,maize,,three heterotic-group classification; general and specific breeding efficiency metrics,Compares two vs three heterotic groups for breeding efficiency; efficiency metrics but not genetic diversity or long-term diversity trajectories.,https://doi.org/10.2134/agronj2017.05.0290
10.3390/agriculture8010003,2018,Mastrodomenico Adriano; Hendrix C.; Below Frederick,Nitrogen Use Efficiency and the Genetic Variation of Maize Expired Plant Variety Protection Germplasm,Agriculture,16,2,maize,nucleotide diversity via SNP,cluster analysis for NUE performance,Evaluates genetic variation in ex-PVP germplasm; cluster analysis identifies inbreds for NUE breeding traits.,https://doi.org/10.3390/agriculture8010003
10.3390/biology12101280,2023,Rasoarahona Ryan; Wattanadilokchatkun Pish; Panthum Thitipong; Thong Thanyapat; Singchat Worapong; Ahmad Syed Farhan,Optimizing Microsatellite Marker Panels for Genetic Diversity and Population Genetic Studies: An Ant Colony Algorithm Approach with Polymorphic Information Content,Biology,16,2,multi-crop,polymorphic information content (PIC),ant colony optimization (ACO) for marker panel selection,"Optimizes microsatellite panels using PIC and heuristic algorithms; applied to chicken and gorals, not crops.",https://doi.org/10.3390/biology12101280
10.1186/s12870-021-02829-6,2021,"Badu-Apraku B, Garcia-Oliveira AL, Petroli CD, Hearne S, Adewale SA, Gedil M.",Genetic diversity and population structure of early and extra-early maturing maize germplasm adapted to sub-Saharan Africa.,,16,2,maize,"polymorphic information content (PIC), SNP markers (9642 DArTseq)",population structure analysis,Assesses early-maturing maize inbred diversity and population structure across SSA.,https://doi.org/10.1186/s12870-021-02829-6
10.1093/plphys/kiac550,2023,"Thakro V, Malik N, Basu U, Srivastava R, Narnoliya L, Daware A, Varshney N, Mohanty JK, Bajaj D, Dwivedi V, Tripathi S, Jha UC, Dixit GP, Singh AK, Tyagi AK, Upadhyaya HD, Parida SK.",A superior gene allele involved in abscisic acid signaling enhances drought tolerance and yield in chickpea.,,16,2,chickpea,allelic haplotype variation (drought tolerance gene CabHLH10),"introgression lines (ILs), near isogenic lines (NILs), association panel",Genomics-assisted breeding identifies superior alleles in mapping population; limited scope for broad diversity conservation.,https://doi.org/10.1093/plphys/kiac550
10.1002/advs.202300039,2023,"Dai F, Zhuo X, Luo G, Wang Z, Xu Y, Wang D, Zhong J, Lin S, Chen L, Li Z, Wang Y, Zhang D, Li Y, Zheng Q, Zheng T, Liu ZJ, Wang L, Zhang Z, Tang C.","Genomic Resequencing Unravels the Genetic Basis of Domestication, Expansion, and Trait Improvement in Morus Atropurpurea.",,16,2,mulberry,genetic diversity from gene flow in hybrid cultivars; population genomics,,Population genomic analysis of 425 accessions; identifies diversity contributors and domestication bottlenecks.,https://doi.org/10.1002/advs.202300039
10.3389/fpls.2024.1441555,2024,Xiang Yong; Xia Chao; Li Lujiang; Wei Rujun; Rong Tingzhao; Liu Hailan,Genomic prediction of yield-related traits and genome-based establishment of heterotic pattern in maize hybrid breeding of Southwest China,Frontiers in Plant Science,14,2,maize,,genomic prediction; heterotic pattern assignment,Genomic prediction of yield and heterotic pattern assignment in maize; establishes groups but no diversity-constrained selection or long-term simulation.,https://doi.org/10.3389/fpls.2024.1441555
10.3390/foods11070898,2022,Amegbor Isaac; van Biljon Angeline; Shargie Nemera; Tarekegne Amsal; Labuschagne Maryke,Identifying Quality Protein Maize Inbred Lines for Improved Nutritional Value of Maize in Southern Africa,Foods,14,2,maize,"allelic diversity in nutritional traits (tryptophan, lysine, zein fractions)",,Evaluates 40 QPM and non-QPM inbred lines for trait variation; identifies good-quality lines for hybrid breeding without explicit selection optimization.,https://doi.org/10.3390/foods11070898
10.1186/s12870-022-03726-2,2022,Selga Catja; Chrominski Pawel; Carlson-Nilsson Ulrika; Andersson Mariette; Chawade Aakash; Ortiz Rodomiro,Diversity and population structure of Nordic potato cultivars and breeding clones,BMC Plant Biology,14,2,potato,"SNP-based genetic distance, PCoA, STRUCTURE, allelic diversity","population structure, PCoA clustering",Nordic breeding germplasm and genebank diversity; population structure guides breeding decisions.,https://doi.org/10.1186/s12870-022-03726-2
10.1093/genetics/iyac018,2022,"Roth M, Beugnot A, Mary-Huard T, Moreau L, Charcosset A, Fiévet JB.",Improving genomic predictions with inbreeding and nonadditive effects in two admixed maize hybrid populations in single and multienvironment contexts.,,14,2,maize,"inbreeding coefficient, variance decomposition, dominance",genomic prediction with inbreeding/nonadditive effects in admixed hybrid populations,Genomic prediction in admixed populations; models diversity structure via inbreeding.,https://doi.org/10.1093/genetics/iyac018
10.3389/fpls.2023.1293186,2023,"Magon G, De Rosa V, Martina M, Falchi R, Acquadro A, Barcaccia G, Portis E, Vannozzi A, De Paoli E.",Boosting grapevine breeding for climate-smart viticulture: from genetic resources to predictive genomics.,,14,2,grapevine,,introgression of alleles via transformation; germplasm collections as diversity source,Genetic diversity within Vitis genus for climate resilience; introgression strategy but no diversity optimization.,https://doi.org/10.3389/fpls.2023.1293186
10.1371/journal.pone.0239541,2020,"Vendelbo NM, Sarup P, Orabi J, Kristensen PS, Jahoor A.",Genetic structure of a germplasm for hybrid breeding in rye (Secale cereale L.).,,14,2,rye,"FST, genetic differentiation",,SNP-based population structure and genetic separation quantified for heterotic-group assignment in hybrid breeding.,https://doi.org/10.1371/journal.pone.0239541
10.2135/cropsci2019.01.0045,2019,Egan Lucy M.; Hofmann Rainer W.; Ghamkhar Kioumars; Hoyos‐Villegas Valerio,Identification of Founding Accessions and Patterns of Relatedness and Inbreeding Derived from Historical Pedigree Data in a Red Clover Germplasm Collection in New Zealand,Crop Science,13,2,red clover,"inbreeding coefficients, kinship coefficients, relatedness",,Pedigree maps and relatedness structure in 1742 accessions; genetic bottlenecks identified but no selection strategy applied.,https://doi.org/10.2135/cropsci2019.01.0045
10.3390/su11246950,2019,Leišová-Svobodová Leona; Michel Sebastian; Tamm Ilmar; Chourová Marie; Janovska Dagmar; Grausgruber Heinrich,Diversity and Pre-Breeding Prospects for Local Adaptation in Oat Genetic Resources,Sustainability,13,2,oat,"molecular markers, population structure analysis, heritability",diversity panel phenotyping; subpopulation identification,Characterized 260-accession diversity panel; breeder selection by yield did not erode genetic diversity; genetic base assessed over breeding eras.,https://doi.org/10.3390/su11246950
10.3389/fpls.2021.735610,2021,Brhane Haftom; Haileselassie Teklehaimanot; Tesfaye Kassahun; Hammenhag Cecilia; Ortiz Rodomiro; Abreha Kibrom B.,Novel Expressed Sequence Tag-Derived and Other Genomic Simple Sequence Repeat Markers Revealed Genetic Diversity in Ethiopian Finger Millet Landrace Populations and Cultivars,Frontiers in Plant Science,13,2,finger millet,"polymorphic information content (PIC), gene diversity, number of alleles per locus",,SSR marker-based diversity assessment of finger millet landraces and cultivars; quantifies germplasm diversity.,https://doi.org/10.3389/fpls.2021.735610
10.1002/csc2.20400,2021,Zystro Jared; Peters Tessa; Miller Kathleen; Tracy William F.,Classical and genomic prediction of hybrid sweet corn performance in organic environments,Crop Science,13,2,maize,prediction accuracy (GBLUP with/without dominance),genomic prediction (GBLUP) and North Carolina Design II combining ability,GBLUP vs. classical combining ability for hybrid sweet corn selection; no diversity metric or constraint.,https://doi.org/10.1002/csc2.20400
10.1186/s12863-017-0589-0,2018,"Liu S, Feuerstein U, Luesink W, Schulze S, Asp T, Studer B, Becker HC, Dehmer KJ.","DArT, SNP, and SSR analyses of genetic diversity in Lolium perenne L. using bulk sampling.",,13,2,perennial ryegrass,"DArT, SNP, SSR polymorphism, clustering",,Genetic diversity assessment of germplasm accessions; no selection or breeding optimization method.,https://doi.org/10.1186/s12863-017-0589-0
10.1186/s12864-020-06796-4,2020,"Kanfany G, Serba DD, Rhodes D, St Amand P, Bernardo A, Gangashetty PI, Kane NA, Bai G.",Genomic diversity in pearl millet inbred lines derived from landraces and improved varieties.,,13,2,pearl millet,"genetic distance, population structure, linkage disequilibrium",,Characterizes diversity and structure in landraces and improved lines; foundational but no explicit selection strategy.,https://doi.org/10.1186/s12864-020-06796-4
10.1007/s00122-020-03682-1,2021,"Galiano-Carneiro AL, Kessel B, Presterl T, Miedaner T.",Intercontinental trials reveal stable QTL for Northern corn leaf blight resistance in Europe and in Brazil.,,13,2,maize,"QTL stability across continents, Brazilian germplasm as resistance donor","multi-parent QTL mapping, marker-assisted and genome-wide selection for disease resistance introgression",Validates introgression of Brazilian resistance alleles into European germplasm; QTL × environment stability.,https://doi.org/10.1007/s00122-020-03682-1
10.3390/agronomy11010177,2021,Shaibu Abdulwahab S.; Badu-Apraku Baffour; Ayo-Vaughan Monininuola A.,"Enhancing Drought Tolerance and Striga hermonthica Resistance in Maize Using Newly Derived Inbred Lines from the Wild Maize Relative, Zea diploperennis",Agronomy,12,2,maize,"heterotic grouping (HGCAMT), combining ability (GCA/SCA)",heterotic grouping by GCA of multiple traits (HGCAMT); introgression from Zea diploperennis,Classifies 12 maize inbreds from wild relative introgression; evaluates combining ability and stability across drought/Striga environments.,https://doi.org/10.3390/agronomy11010177
10.1007/s11295-023-01607-9,2023,McLean Duncan; Apiolaza Luis; Paget Mark; Klápště Jaroslav,Simulating deployment of genetic gain in a radiata pine breeding program with genomic selection,Tree Genetics &amp; Genomes,12,2,forest tree,"genetic variance, genetic gain",genomic selection deployment simulation in clonal/orchard systems,"GS acceleration in radiata pine; genetic gain deployment timing optimized; forest genetics context, not crop breeding.",https://doi.org/10.1007/s11295-023-01607-9
10.31742/ijgpb.78.3.5,2018,Babu B. Kalyana; Rashmi C.; Sood Salej,"Cross transferability of finger millet and maize genomic SSR markers
for genetic diversity and population structure analysis of barnyard millet",The Indian Journal of Genetics and Plant Breeding (The),12,2,barnyard millet,"PIC, gene diversity, polymorphism information",SSR marker-based population structure,Molecular diversity quantified; no explicit selection or optimization method.,https://doi.org/10.31742/ijgpb.78.3.5
10.1002/tpg2.20160,2021,Dzievit Matthew J.; Guo Tingting; Li Xianran; Yu Jianming,Comprehensive analytical and empirical evaluation of genomic prediction across diverse accessions in maize,The Plant Genome,12,2,maize,genomic prediction accuracy; genebank diversity exploitation,genomic prediction (cross-validation); genebank subset selection,Uses diversity panel (Ames) as training to select accessions from genebanks; diversity characterization only descriptive.,https://doi.org/10.1002/tpg2.20160
10.3389/fpls.2023.1070302,2023,Matongera Nakai; Ndhlela Thokozile; van Biljon Angeline; Kamutando Casper N.; Labuschagne Maryke,Combining ability and testcross performance of multi-nutrient maize under stress and non-stress environments,Frontiers in Plant Science,12,2,maize,"general and specific combining ability (GCA, SCA)",line-by-tester combining ability analysis,Combining ability estimated for multi-nutrient maize; heterotic-group context but no diversity metric.,https://doi.org/10.3389/fpls.2023.1070302
10.1534/g3.120.401196,2020,Zeitler Leo; Ross-Ibarra Jeffrey; Stetter Markus G,Selective Loss of Diversity in Doubled-Haploid Lines from European Maize Landraces,G3 Genes|Genomes|Genetics,11,2,maize,SNP allele frequency; haplotype diversity,,Quantifies diversity loss from DH production in landraces; genetic-base analysis without selection method.,https://doi.org/10.1534/g3.120.401196
10.3390/biology13060454,2024,"Balconi C, Galaretto A, Malvar RA, Nicolas SD, Redaelli R, Andjelkovic V, Revilla P, Bauland C, Gouesnard B, Butron A, Torri A, Barata AM, Kravic N, Combes V, Mendes-Moreira P, Murariu D, Šarčević H, ",Genetic and Phenotypic Evaluation of European Maize Landraces as a Tool for Conservation and Valorization of Agrobiodiversity.,,11,2,maize,"genetic grouping (admixture threshold 0.6), pool genotyping, nine genetic groups",core collection designation,Characterizes European maize landrace diversity; identifies 277 admixed accessions and geographic structure.,https://doi.org/10.3390/biology13060454
10.3389/fpls.2022.921608,2022,"Sang Z, Wang H, Yang Y, Zhang Z, Liu X, Li Z, Xu Y.",Epistasis Activation Contributes Substantially to Heterosis in Temperate by Tropical Maize Hybrids.,,11,2,maize,heterotic genetic distance,,"Analyzes how interparental divergence affects heterosis in 1,154 hybrids; genetic-base-broadening context but no selection optimization.",https://doi.org/10.3389/fpls.2022.921608
