doi,year,authors,title,journal,citations,relevance,metric_advocated,theme,relevance_note,url
10.1186/s12870-026-08478-x,2026,"Zhang C, Lamlom SF, Hong H, Huang L, Yuan R, Zhang F, Xia X, Wang X, Zhao K, Liu X, Abdelghany AM, Ren H, Ding J.",Integrative multi-trait phenotyping reveals coordinated root and antioxidant responses underlying drought tolerance in soybean.,,0,3,morphological/physiological trait heritability; multi-trait selection index (MGIDI); root architecture + antioxidant defence trait interaction,Core collection / subset selection; Optimisation algorithms / cost,Multi-trait genotype selection for drought tolerance; coordinated trait breeding; heritability-informed selection; candidate for constraint-based genomic selection pipeline.,https://doi.org/10.1186/s12870-026-08478-x
10.1007/s00122-025-05034-3,2025,"Sanchez D, Ben Sadoun S, Mary-Huard T, Bauland C, Palaffre C, Lagardère B, Madur D, Combes V, Melkior S, Bettinger L, Murigneux A, Moreau L, Charcosset A.",Genomic prediction-aided incorporation of genetic resources into elite breeding: lessons from a collaborative multiparental design in flint maize.,,0,3,"Usefulness criterion (UC), genome-wide donor-elite complementarity, genomic prediction",OCS / contribution optimisation; Optimisation algorithms / cost,Multiparental maize bridging design selecting donors × elite crosses; genomic prediction to optimize diversity incorporation and transgressive progeny.,https://doi.org/10.1007/s00122-025-05034-3
10.1101/634303,2019,"Allier A, Lehermeier C, Charcosset A, Moreau L, Teyssèdre S.",Improving short and long term genetic gain by accounting for within family variance in optimal cross selection,,0,3,"expected genetic diversity, coancestry, parental contribution (UCPC)",OCS / contribution optimisation; Coancestry / relationship matrix choice,"Identical to [2]: optimal cross-selection, within-family variance, diversity constraints in genomic breeding programs.",https://doi.org/10.1101/634303
10.1186/s40850-026-00264-4,2026,"Domínguez S, Gutiérrez JP, Moreno E, Cervantes I.",Optimizing mating strategies to maximize genetic diversity in the mhorr gazelle (Nanger dama mhorr) ex situ breeding program.,,0,3,"Coancestry, effective population size (Ne), parent/offspring coancestry",OCS / contribution optimisation; Coancestry / relationship matrix choice; Heterozygosity / gene diversity,Directly compares mating strategies to minimise coancestry and maximise Ne over generations; optimal contribution selection benchmark.,https://doi.org/10.1186/s40850-026-00264-4
10.1186/s12870-026-08663-y,2026,"Zheng C, Liu Z, Liu N, Li C, Niu Y, Mao C, Liu J.",Genetic diversity analysis and core collection construction of Macadamia spp. from Yunnan using fourfold degenerate SNP sites.,,0,3,"expected heterozygosity, observed heterozygosity, polymorphic information content, nucleotide diversity, core collection",Heterozygosity / gene diversity; Effective size; Core collection / subset selection,Directly addresses core collection construction using diversity metrics; demonstrates diversity-based germplasm subset selection.,https://doi.org/10.1186/s12870-026-08663-y
10.3389/fpls.2025.1707011,2025,"Shrestha A, Gudino MA, Angeles-Shim RB.",Environmental pressures shape regional patterns of genetic diversity and ancestry in cotton landraces.,,0,3,"Nei genetic distance, FST, heterozygosity, allelic richness, Tajima's D, balancing selection",Allelic richness / rare alleles; Heterozygosity / gene diversity,"Cotton landrace diversity, selection signatures, and domestic bottleneck; directly relevant to diversity loss quantification and structure.",https://doi.org/10.3389/fpls.2025.1707011
10.3389/fpls.2025.1675815,2025,"Gouy M, Bogard M, Mohamadi F, Demenou B.",Optimizing core collections for genetic studies: a worldwide flax germplasm case study.,,0,3,"expected heterozygosity (He), allelic richness, core-collection algorithms",Allelic richness / rare alleles; Heterozygosity / gene diversity; Core collection / subset selection,Core-collection development strategies evaluated on diversity and representativeness; He reported by cluster; directly addresses selection-driven subset optimization.,https://doi.org/10.3389/fpls.2025.1675815
10.1186/s12711-019-0495-1,2019,Doublet A; Croiseau P; Fritz S; Michenet A; Hozé C; Danchin-Burge C,The impact of genomic selection on genetic diversity and genetic gain in three French dairy cattle breeds,Genetics Selection Evolution,100,2,runs of homozygosity (ROH); inbreeding rate; effective population size,OCS / contribution optimisation; Coancestry / relationship matrix choice; Effective size,Empirical diversity impact of genomic selection; ROH and pedigree inbreeding quantified; no OCS optimization.,https://doi.org/10.1186/s12711-019-0495-1
10.1038/s41598-018-34555-9,2018,Fatokun C; Girma G; Abberton M; Gedil M; Unachukwu N; Oyatomi O,Genetic diversity and population structure of a mini-core subset from the world cowpea (Vigna unguiculata (L.) Walp.) germplasm collection,Scientific Reports,91,2,"Gene diversity, heterozygosity, polymorphic information content (PIC)",Heterozygosity / gene diversity; Effective size; Core collection / subset selection,"Core collection characterization reports diversity metrics (He, PIC) via SNP clustering but lacks optimization algorithm or selection-under-constraints framework.",https://doi.org/10.1038/s41598-018-34555-9
10.3390/d12010008,2019,Eusebi P; Martinez A; Cortes O,Genomic Tools for Effective Conservation of Livestock Breed Diversity,Diversity,71,2,linkage disequilibrium; effective population size; runs of homozygosity (ROH); genomic relatedness,OCS / contribution optimisation; Coancestry / relationship matrix choice; Effective size,Reviews genomic tools for livestock diversity conservation and estimation. Addresses marker choice and relatedness but not optimisation inner-loop cost.,https://doi.org/10.3390/d12010008
10.1038/s41586-024-08458-x,2025,"Shaw RE, Farquharson KA, Bruford MW, Coates DJ, Elliott CP, Mergeay J, Ottewell KM, Segelbacher G, Hoban S, Hvilsom C, Pérez-Espona S, Ruņģis D, Aravanopoulos F, Bertola LD, Cotrim H, Cox K, Cubric-Cu",Global meta-analysis shows action is needed to halt genetic diversity loss.,,70,2,"allele frequency, heterozygosity, genetic diversity indices",Allelic richness / rare alleles; Heterozygosity / gene diversity; Optimisation algorithms / cost,Global meta-analysis of temporal genetic diversity change under threats and conservation; broad synthesis but no specific metric evaluation for real-time combinatorial optimisation.,https://doi.org/10.1038/s41586-024-08458-x
10.1186/s12864-020-06835-0,2020,Mourad A; Belamkar V; Baenziger P,"Molecular genetic analysis of spring wheat core collection using genetic diversity, population structure, and linkage disequilibrium",BMC Genomics,65,2,"Allelic richness (Na, Ne), heterozygosity (h, uh), kinship, population structure (AMOVA)",Coancestry / relationship matrix choice; Allelic richness / rare alleles; Heterozygosity / gene diversity,Quantifies diversity metrics in wheat core via GBS-SNPs and identifies population structure but does not address selection optimization or computational constraints.,https://doi.org/10.1186/s12864-020-06835-0
10.1186/s40104-020-00447-0,2020,Shi L; Wang L; Liu J; Deng T; Yan H; Zhang L,Estimation of inbreeding and identification of regions under heavy selection based on runs of homozygosity in a Large White pig population,Journal of Animal Science and Biotechnology,56,2,"F_ROH, F_HOM, F_GRM, F_PED",Coancestry / relationship matrix choice; Optimisation algorithms / cost,"Large-scale comparison of four inbreeding estimators in pigs; relevant for metric evaluation but descriptive census, no selection algorithm or cost analysis.",https://doi.org/10.1186/s40104-020-00447-0
10.1093/genetics/iyab122,2021,Wolfe M; Chan A; Kulakow P; Rabbi I; Jannink J,Genomic mating in outbred species: predicting cross usefulness with additive and total genetic covariance matrices,Genetics,50,2,additive and total genetic covariance matrices; cross variance prediction,OCS / contribution optimisation; Optimisation algorithms / cost,Genomic mating predicts cross usefulness but does not address diversity loss or computational cost in optimisation loops.,https://doi.org/10.1093/genetics/iyab122
10.1186/s12863-020-0824-y,2020,Ghoreishifar S; Moradi-Shahrbabak H; Fallahi M; Jalil Sarghale A; Moradi-Shahrbabak M; Abdollahi-Arpanahi R,"Genomic measures of inbreeding coefficients and genome-wide scan for runs of homozygosity islands in Iranian river buffalo, Bubalus bubalis",BMC Genetics,46,2,"F_ROH, F_HOM, F_UNI, F_GRM",Coancestry / relationship matrix choice; Optimisation algorithms / cost,"Compares four genomic inbreeding estimators on SNP data; relevant for metric choice but descriptive, lacks selection-optimisation or computational-cost context.",https://doi.org/10.1186/s12863-020-0824-y
10.1186/s12711-021-00644-z,2021,Lozada-Soto E; Maltecca C; Lu D; Miller S; Cole J; Tiezzi F,Trends in genetic diversity and the effect of inbreeding in American Angus cattle under genomic selection,Genetics Selection Evolution,42,2,effective population size; effective number of chromosome segments; inbreeding (pedigree and genomic),OCS / contribution optimisation; Effective size; Optimisation algorithms / cost,Quantifies diversity metrics under genomic selection; no OCS or optimization framework discussed.,https://doi.org/10.1186/s12711-021-00644-z
10.1111/nph.17915,2022,Montazeaud G; Flutre T; Ballini E; Morel J; David J; Girodolle J,From cultivar mixtures to allelic mixtures: opposite effects of allelic richness between genotypes and genotype richness in wheat,New Phytologist,40,2,"allelic richness, genotype richness",Allelic richness / rare alleles; Heterozygosity / gene diversity; Optimisation algorithms / cost,Field study of diversity effects on yield/disease in wheat mixtures; genomic data integrated but no selection algorithm or constraints.,https://doi.org/10.1111/nph.17915
10.1186/s12711-019-0496-0,2019,Upadhyay M; Eriksson S; Mikko S; Strandberg E; Stålhammar H; Groenen M,Genomic relatedness and diversity of Swedish native cattle breeds,Genetics Selection Evolution,39,2,"SNP-based diversity, phylogenetic relatedness",Optimisation algorithms / cost,Native breed conservation and diversity assessment; documents metrics but no optimisation or selection algorithm.,https://doi.org/10.1186/s12711-019-0496-0
10.3389/fgene.2021.722602,2021,Sticca E; Belbin G; Gignoux C,Current Developments in Detection of Identity-by-Descent Methods and Applications,Frontiers in Genetics,36,2,IBD,Coancestry / relationship matrix choice; Optimisation algorithms / cost,Review of IBD detection methods and computational advances; contextual for scalable diversity assessment but no direct diversity metrics or selection applications.,https://doi.org/10.3389/fgene.2021.722602
10.3390/ijms24032470,2023,Rispail N; Wohor O; Osuna-Caballero S; Barilli E; Rubiales D,Genetic Diversity and Population Structure of a Wide Pisum spp. Core Collection,International Journal of Molecular Sciences,33,2,"DArTSeq SNP/SilicoDArT, expected/observed heterozygosity, population structure",Heterozygosity / gene diversity; Core collection / subset selection; Optimisation algorithms / cost,Core collection construction and diversity assessment; lacks optimisation algorithm or computational cost analysis for selection.,https://doi.org/10.3390/ijms24032470
10.1186/s12864-019-5564-x,2019,"Grilz-Seger G, Druml T, Neuditschko M, Dobretsberger M, Horna M, Brem G.",High-resolution population structure and runs of homozygosity reveal the genetic architecture of complex traits in the Lipizzan horse.,,32,2,runs of homozygosity (ROH); population structure; autozygosity,Coancestry / relationship matrix choice; Optimisation algorithms / cost,High-resolution ROH and kinship in managed horse population; directly relevant to diversity quantification but no combinatorial optimisation or algorithm cost evaluation.,https://doi.org/10.1186/s12864-019-5564-x
10.1111/eva.70000,2024,Jeon J; Black A; Heenkenda E; Mularo A; Lamka G; Janjua S,Genomic Diversity as a Key Conservation Criterion: Proof‐of‐Concept From Mammalian Whole‐Genome Resequencing Data,Evolutionary Applications,31,2,Watterson's theta; autozygosity; runs of homozygosity (ROH),OCS / contribution optimisation; Coancestry / relationship matrix choice; Optimisation algorithms / cost,Evaluates genomic diversity metrics from whole-genome data in conservation context. Identifies practical GD metrics but not in breeding optimisation.,https://doi.org/10.1111/eva.70000
10.1038/s41467-024-51015-3,2024,"Siegel SV, Trimarsanto H, Amato R, Murie K, Taylor AR, Sutanto E, Kleinecke M, Whitton G, Watson JA, Imwong M, Assefa A, Rahim AG, Nguyen HC, Tran TH, Green JA, Koh GCKW, White NJ, Day N, Kwiatkowski ",Lineage-informative microhaplotypes for recurrence classification and spatio-temporal surveillance of Plasmodium vivax malaria parasites.,,27,2,IBD (identity-by-descent); microhaplotype diversity,Coancestry / relationship matrix choice; Core collection / subset selection; Optimisation algorithms / cost,"Malaria parasite relatedness via IBD and marker panels; demonstrates scalable kinship inference for surveillance, translatable to genomic selection workflows.",https://doi.org/10.1038/s41467-024-51015-3
10.1371/journal.pone.0249505,2021,Josia C; Mashingaidze K; Amelework A; Kondwakwenda A; Musvosvi C; Sibiya J,SNP-based assessment of genetic purity and diversity in maize hybrid breeding,PLOS ONE,24,2,"genetic distance, PIC, heterozygosity",OCS / contribution optimisation; Heterozygosity / gene diversity; Optimisation algorithms / cost,SNP-based purity assessment and diversity among inbred lines; metrics cheap but no selection algorithm or OCS framework.,https://doi.org/10.1371/journal.pone.0249505
10.3389/fgene.2021.629737,2021,"R2D2 Consortium, Fugeray-Scarbel A, Bastien C, Dupont-Nivet M, Lemarié S.",Why and How to Switch to Genomic Selection: Lessons From Plant and Animal Breeding Experience.,,24,2,"genomic relationship matrices, breeding value prediction",OCS / contribution optimisation,"Discusses population management and parent choice for diversity; broader context on genomic selection adoption, less mechanistic detail.",https://doi.org/10.3389/fgene.2021.629737
10.1111/pbi.13420,2020,Yu X; Leiboff S; Li X; Guo T; Ronning N; Zhang X,Genomic prediction of maize microphenotypes provides insights for optimizing selection and mining diversity,Plant Biotechnology Journal,23,2,"Genomic relationships, prediction reliability (U value)",Effective size; Optimisation algorithms / cost,Genomic prediction to mine diversity in maize genebank; reliability-based selection considers relationship structure but not explicit diversity loss metrics.,https://doi.org/10.1111/pbi.13420
10.3389/fgene.2021.637133,2021,Silva É; Xavier A; Faria M,"Impact of Genomic Prediction Model, Selection Intensity, and Breeding Strategy on the Long-Term Genetic Gain and Genetic Erosion in Soybean Breeding",Frontiers in Genetics,22,2,"Genomic selection, genetic gain, genetic erosion, GBLUP, Bayesian methods",OCS / contribution optimisation; Allelic richness / rare alleles; Optimisation algorithms / cost,Long-term simulation of genomic selection strategies in soybean over 200 cycles; balances gain vs erosion but no optimal contribution or computational cost analysis.,https://doi.org/10.3389/fgene.2021.637133
10.3389/fpls.2022.934767,2022,Chung P; Liao C,Selection of parental lines for plant breeding via genomic prediction,Frontiers in Plant Science,22,2,genomic diversity,Optimisation algorithms / cost,Parental selection integrating GEBV and genomic diversity into selection index for long-term gain; no metric detail or optimisation complexity.,https://doi.org/10.3389/fpls.2022.934767
10.1007/s00122-022-04071-6,2022,Li Y; Kaur S; Pembleton L; Valipour-Kahrood H; Rosewarne G; Daetwyler H,Strategies of preserving genetic diversity while maximizing genetic response from implementing genomic selection in pulse breeding programs,Theoretical and Applied Genetics,20,2,"fixed alleles, relationship constraints",OCS / contribution optimisation; Optimisation algorithms / cost,Addresses diversity loss under genomic selection via cycle shortening; lacks specific metrics or computational cost for optimisation.,https://doi.org/10.1007/s00122-022-04071-6
10.1534/g3.120.401132,2020,Yang C; Sharma R; Gorjanc G; Hearne S; Powell W; Mackay I,Origin Specific Genomic Selection: A Simple Process To Optimize the Favorable Contribution of Parents to Progeny,G3 Genes|Genomes|Genetics,19,2,allele-origin partitioning; exotic allele contribution,OCS / contribution optimisation; Coancestry / relationship matrix choice; Optimisation algorithms / cost,Targets diversity (exotic alleles) in selection but not diversity metrics or OCS framework.,https://doi.org/10.1534/g3.120.401132
10.1093/bioinformatics/btae082,2024,Guan Y; Levy D,Estimation of inbreeding and kinship coefficients via latent identity-by-descent states,Bioinformatics,18,2,IBD,Coancestry / relationship matrix choice; Optimisation algorithms / cost,Fast inbreeding and kinship estimation via IBD states; relevant to computationally cheap relationship inference but not diversity-loss metrics or selection.,https://doi.org/10.1093/bioinformatics/btae082
10.1534/g3.120.401354,2020,"Vanavermaete D, Fostier J, Maenhout S, De Baets B.",Preservation of Genetic Variation in a Breeding Population for Long-Term Genetic Gain.,,18,2,"QTL allele retention, genetic variation",OCS / contribution optimisation; Coancestry / relationship matrix choice; Optimisation algorithms / cost,"Proposes mating strategy to prevent QTL loss during genomic selection; simulation-based, but no computational cost or diversity metric details.",https://doi.org/10.1534/g3.120.401354
10.1371/journal.pone.0250608,2021,Addo S; Klingel S; Thaller G; Hinrichs D,Genetic diversity and the application of runs of homozygosity-based methods for inbreeding estimation in German White-headed Mutton sheep,PLOS ONE,17,2,"ROH-based inbreeding (F_ROH_L, F_ROH_N), effective population size",Coancestry / relationship matrix choice; Effective size,Compares ROH inbreeding metrics and effective N_e in managed population; directly relevant to diversity quantification.,https://doi.org/10.1371/journal.pone.0250608
10.3390/ani10061034,2020,Fabbri M; Dadousis C; Bozzi R,Estimation of Linkage Disequilibrium and Effective Population Size in Three Italian Autochthonous Beef Breeds,Animals,16,2,"linkage disequilibrium, effective population size",Effective size; Optimisation algorithms / cost,LD-based Ne in cattle; demonstrates genomic diversity metrics but lacks selection optimisation or computational cost discussion.,https://doi.org/10.3390/ani10061034
10.3390/ani13040599,2023,"Gao C, Du W, Tian K, Wang K, Wang C, Sun G, Kang X, Li W.",Analysis of Conservation Priorities and Runs of Homozygosity Patterns for Chinese Indigenous Chicken Breeds.,,15,2,"gene diversity, allelic diversity, runs of homozygosity",OCS / contribution optimisation; Coancestry / relationship matrix choice; Allelic richness / rare alleles,Conservation priority ranking using gene diversity and allelic diversity; ROH patterns analysed but no optimisation algorithm or selection framework.,https://doi.org/10.3390/ani13040599
10.1093/jhered/esac026,2022,Wilson C; Petersen J; Blackburn H; Lewis R,Assessing Population Structure and Genetic Diversity in US Suffolk Sheep to Define a Framework for Genomic Selection,Journal of Heredity,14,2,"Ne, expected/observed heterozygosity, allelic richness, population structure",OCS / contribution optimisation; Allelic richness / rare alleles; Heterozygosity / gene diversity,"Characterises diversity and reference population structure for genomic selection; descriptive, lacks optimisation or computational considerations.",https://doi.org/10.1093/jhered/esac026
10.1017/s1479262119000376,2019,Bawin Y; Panis B; Vanden Abeele S; Li Z; Sardos J; Paofa J,Genetic diversity and core subset selection in<i>ex situ</i>seed collections of the banana crop wild relative<i>Musa balbisiana</i>,Plant Genetic Resources: Characterization and Utilization,14,2,"Allelic richness, genetic distance",Allelic richness / rare alleles; Core collection / subset selection; Optimisation algorithms / cost,"Core subset selection in banana CWR compares two diversity strategies (maximize distance vs. richness) using microsatellites; manual trade-off assessment, not algorithmic optimization.",https://doi.org/10.1017/s1479262119000376
10.1186/s12711-021-00654-x,2021,Bernstein R; Du M; Hoppe A; Bienefeld K,Simulation studies to optimize genomic selection in honey bees,Genetics Selection Evolution,14,2,genomic relationship matrix,Coancestry / relationship matrix choice; Optimisation algorithms / cost,"Genomic selection in honey bees; simulates breeding program design but focus is accuracy, not diversity metric evaluation.",https://doi.org/10.1186/s12711-021-00654-x
10.3390/ani13213306,2023,"Sosa-Madrid BS, Maniatis G, Ibáñez-Escriche N, Avendaño S, Kranis A.",Genetic Variance Estimation over Time in Broiler Breeding Programmes for Growth and Reproductive Traits.,,14,2,"genetic variance, relationship matrix",OCS / contribution optimisation; Coancestry / relationship matrix choice; Optimisation algorithms / cost,Monitors genetic variance change under directional selection; long-term sustainability but not optimisation metrics or computational cost.,https://doi.org/10.3390/ani13213306
10.1007/s00122-023-04446-3,2023,Melchinger A; Frisch M,Genomic prediction in hybrid breeding: II. Reciprocal recurrent genomic selection with full-sib and half-sib families,Theoretical and Applied Genetics,13,2,"GCA/SCA variance, genetic variance, prediction accuracy",Other,"Reciprocal recurrent selection in hybrid breeding; tracks genetic variance loss across cycles, relevant to long-term diversity trade-offs.",https://doi.org/10.1007/s00122-023-04446-3
10.3389/fpls.2025.1495662,2025,"Vieira RA, Nogueira APO, Fritsche-Neto R.",Optimizing the selection of quantitative traits in plant breeding using simulation.,,11,2,"genetic gain, genetic diversity, genomic selection",OCS / contribution optimisation; Coancestry / relationship matrix choice; Optimisation algorithms / cost,Simulation review on diversity-gain trade-offs and genomic selection; general principles but not metric evaluation or computational cost.,https://doi.org/10.3389/fpls.2025.1495662
10.1111/mec.17109,2023,Bossu C; Rodriguez M; Rayne C; Chromczak D; Higgins P; Trulio L,Genomic approaches to mitigating genetic diversity loss in declining populations,Molecular Ecology,10,2,"kinship, homozygosity patterns",OCS / contribution optimisation; Coancestry / relationship matrix choice; Optimisation algorithms / cost,"Mate selection optimisation for diversity; conservation focus, not breeding under many constraints; computational efficiency not discussed.",https://doi.org/10.1111/mec.17109
10.3390/genes14010107,2022,Jin H; Zhao S; Jia Y; Xu L,"Estimation of Linkage Disequilibrium, Effective Population Size, and Genetic Parameters of Phenotypic Traits in Dabieshan Cattle",Genes,10,2,"linkage disequilibrium, effective population size",Effective size; Optimisation algorithms / cost,LD and Ne in cattle breed; genomic markers for population structure but no selection or optimisation strategy.,https://doi.org/10.3390/genes14010107
10.1093/genetics/iyad141,2023,Wientjes Y; Bijma P; van den Heuvel J; Zwaan B; Vitezica Z; Calus M,The long-term effects of genomic selection: 2. Changes in allele frequencies of causal loci and new mutations,GENETICS,10,2,"Allele frequency changes, genomic vs pedigree selection, linkage phase, genetic drift, hitchhiking",Allelic richness / rare alleles; Optimisation algorithms / cost,Compares genomic and pedigree selection on allelic architecture over 50 generations; relevant to loss of diversity but not optimisation costs.,https://doi.org/10.1093/genetics/iyad141
10.1111/mec.17174,2023,Hill P; Dickman C; Dinnage R; Duncan R; Edwards S; Greenville A,Episodic population fragmentation and gene flow reveal a trade‐off between heterozygosity and allelic richness,Molecular Ecology,10,2,"heterozygosity, allelic richness",Allelic richness / rare alleles; Heterozygosity / gene diversity; Effective size,"Theoretical trade-off between diversity metrics under fragmentation; ecological context, not breeding optimization or computational cost.",https://doi.org/10.1111/mec.17174
10.3389/fpls.2023.1260517,2023,"Yadav S, Ross EM, Wei X, Powell O, Hivert V, Hickey LT, Atkin F, Deomano E, Aitken KS, Voss-Fels KP, Hayes BJ.",Optimising clonal performance in sugarcane: leveraging non-additive effects via mate-allocation strategies.,,10,2,"heterozygosity, non-additive effects, clonal values",OCS / contribution optimisation; Heterozygosity / gene diversity; Optimisation algorithms / cost,Mate-allocation optimisation with diversity/heterozygosity; integer linear programming; clonal crops but lacks diversity-loss quantification.,https://doi.org/10.3389/fpls.2023.1260517
10.1093/g3journal/jkad164,2023,"Degen B, Müller NA.",A simulation study comparing advanced marker-assisted selection with genomic selection in tree breeding programs.,,9,2,"genomic selection, inbreeding coefficients",OCS / contribution optimisation; Coancestry / relationship matrix choice,Compares GS vs MAS on genetic gain and inbreeding in tree breeding; relevant for understanding diversity cost of selection methods but not diversity metrics themselves.,https://doi.org/10.1093/g3journal/jkad164
10.1186/s12864-024-10485-x,2024,"Wang R, Wang X, Qi Y, Li Y, Na Q, Yuan H, Rong Y, Ao X, Guo F, Zhang L, Liu Y, Shang F, Zhang Y, Wang Y.",Genetic diversity analysis of Inner Mongolia cashmere goats (Erlangshan subtype) based on whole genome re-sequencing.,,9,2,"He, Ho, kinship matrix, inbreeding coefficient, identity-by-state",Coancestry / relationship matrix choice; Optimisation algorithms / cost,Kinship and inbreeding metrics for breed management; relevant but lacks selection algorithm.,https://doi.org/10.1186/s12864-024-10485-x
10.3390/genes13101896,2022,Martínez-Rocha R; Hidalgo J; Cesarani A; Ramírez-Valverde R; Núñez-Domínguez R; García-Muñiz J,"Assessment of Genetic Diversity, Runs of Homozygosity, and Signatures of Selection in Tropical Milking Criollo Cattle Using Pedigree and Genomic Data",Genes,8,2,"Ne, inbreeding (FPed, FGRM, FROH), runs of homozygosity",OCS / contribution optimisation; Coancestry / relationship matrix choice; Optimisation algorithms / cost,Compares pedigree vs genomic inbreeding metrics; characterises diversity for breeding programme design; lacks optimisation context.,https://doi.org/10.3390/genes13101896
10.1017/s1479262121000253,2021,Animasaun D; Adikwu V; Alex G; Akinsunlola T; Adekola O; Krishnamurthy R,"Morpho-agronomic traits variability, allelic polymorphism and diversity analysis of African yam bean: towards improving utilization and germplasm conservation",Plant Genetic Resources: Characterization and Utilization,8,2,"Allelic diversity (ISSR), polymorphism, kinship/relationship via PCA",OCS / contribution optimisation; Coancestry / relationship matrix choice; Allelic richness / rare alleles,Germplasm diversity assessment; mentions conservation but lacks optimisation or selection algorithm.,https://doi.org/10.1017/s1479262121000253
10.3390/ani12182306,2022,Zhang P; Qiu X; Wang L; Zhao F,Progress in Genomic Mating in Domestic Animals,Animals,8,2,genomic mating; inbreeding control via genomic relatedness,OCS / contribution optimisation; Optimisation algorithms / cost,Reviews genomic mate selection to balance gain and inbreeding in livestock. No specific diversity metrics or computational complexity discussion.,https://doi.org/10.3390/ani12182306
10.3390/ani12030249,2022,"González-Cano R, González-Martínez A, Muñoz-Mejías ME, Valera P, Rodero E.","Analyses of Genetic Diversity in the Endangered ""Berrenda"" Spanish Cattle Breeds Using Pedigree Data.",,8,2,"inbreeding rate, effective population size, coancestry-based Ne",OCS / contribution optimisation; Coancestry / relationship matrix choice; Effective size,"Pedigree-based diversity monitoring in endangered breeds; relevant context for Ne estimation but uses pedigree, not genomic markers.",https://doi.org/10.3390/ani12030249
10.3390/ani14192784,2024,"Ma K, Song J, Li D, Li T, Ma Y.",Genetic Diversity and Selection Signal Analysis of Hu Sheep Based on SNP50K BeadChip.,,8,2,"Ne, PIC, He, Ho, effective number of alleles, MAF, IBS distance, ROH, F_ROH",Coancestry / relationship matrix choice; Allelic richness / rare alleles; Optimisation algorithms / cost,Diversity metrics on genomic data (SNP50K); no selection optimization or constraint framework.,https://doi.org/10.3390/ani14192784
10.1111/mec.70088,2025,"Fontsere C, Speak SA, Caven AJ, Rodríguez JA, Wang X, Pacheco C, Cassatt-Johnstone M, Femerling G, Maloney B, Balacco J, Collins J, Sims Y, Abueg L, Fedrigo O, Jarvis ED, Hartup BK, Shapiro B, Gilbert",Persistent Genomic Erosion in Whooping Cranes Despite Demographic Recovery.,,8,2,"heterozygosity, inbreeding coefficient, genetic load",OCS / contribution optimisation; Heterozygosity / gene diversity,Temporal genomic diversity loss and breeding management in captive recovery; useful context on pedigree+genomic integration for inbreeding reduction.,https://doi.org/10.1111/mec.70088
10.3390/genes16030316,2025,Ma R; Liu J; Ma X; Yang J,Genome-Wide Runs of Homozygosity Reveal Inbreeding Levels and Trait-Associated Candidate Genes in Diverse Sheep Breeds,Genes,7,2,"ROH (genome-wide), inbreeding coefficient, ROH islands",Coancestry / relationship matrix choice; Optimisation algorithms / cost,ROH quantification for inbreeding control in livestock; global breed comparison but no optimisation algorithm or selection context.,https://doi.org/10.3390/genes16030316
10.1111/jbg.12853,2024,Cortes O; Cañon J; Andrino S; Fernanadez M; Carleos C,Inbreeding depression and runs of homozygosity islands in Asturiana de los Valles cattle breed after 30 years of selection,Journal of Animal Breeding and Genetics,7,2,"ROH (F_ROH, F_ROH<4, F_ROH4-17), pedigree F_PED",Coancestry / relationship matrix choice; Optimisation algorithms / cost,"Compares pedigree vs genomic inbreeding estimation methods; ROH-based metrics evaluated but study focuses on inbreeding depression phenotypes, not selection optimisation.",https://doi.org/10.1111/jbg.12853
10.3390/d15050640,2023,Djokic M; Drzaic I; Shihabi M; Markovic B; Cubric-Curik V,Genomic Diversity Analyses of Some Indigenous Montenegrin Sheep Populations,Diversity,7,2,"Ho, He, F-statistic, ROH, inbreeding coefficient",OCS / contribution optimisation; Coancestry / relationship matrix choice; Optimisation algorithms / cost,Conservation-focused diversity assessment of endangered sheep; reports standard metrics but no selection algorithm or optimization cost analysis.,https://doi.org/10.3390/d15050640
10.3390/su11246949,2019,Bitz L; Heinonen M; Moisander S; Tanhuanpää P; Sarvarinne J,Differential Allelic Richness between Malus sylvestris L. and Malus × domestica Borkh. from Finland as a Measure of Genetic Loss,Sustainability,7,2,"allelic richness, gene diversity, microsatellites",Allelic richness / rare alleles; Heterozygosity / gene diversity; Effective size,,https://doi.org/10.3390/su11246949
10.1186/s40104-025-01155-3,2025,"Pegolo S, Bisutti V, Mota LFM, Cecchinato A, Amalfitano N, Dettori ML, Pazzola M, Vacca GM, Bittante G.","Genome-wide landscape of genetic diversity, runs of homozygosity, and runs of heterozygosity in five Alpine and Mediterranean goat breeds.",,7,2,"ROH, ROHet, FROH",Coancestry / relationship matrix choice; Heterozygosity / gene diversity; Effective size,"Comprehensive ROH/heterozygosity analysis across breeds; characterizes inbreeding variation but descriptive, not optimization-focused.",https://doi.org/10.1186/s40104-025-01155-3
10.1073/pnas.2401106122,2025,"Freudiger A, Jovanovic VM, Huang Y, Snyder-Mackler N, Conrad DF, Miller B, Montague MJ, Westphal H, Stadler PF, Bley S, Horvath JE, Brent LJN, Platt ML, Ruiz-Lambides A, Tung J, Nowick K, Ringbauer H,",Estimating realized relatedness in free-ranging macaques by inferring identity-by-descent segments.,,7,2,"IBD segments, kinship, relatedness",OCS / contribution optimisation; Coancestry / relationship matrix choice,High-accuracy IBD inference from low-depth WGS; relevant for fine-grained relatedness in free-ranging populations; no selection.,https://doi.org/10.1073/pnas.2401106122
